ms;uA
10.0;14470.000000000002
20.0;6296.0
30.0;14450.000000000002
40.0;6190.0
50.0;14380.000000000002
60.0;10570.0
70.0;14450.000000000002
80.0;14600.000000000002
90.0;14700.000000000002
100.0;14480.000000000002
110.0;14340.000000000002
120.0;6457.0
130.0;14570.000000000002
140.0;6544.0
150.0;14910.000000000002
160.0;9056.0
170.0;14330.000000000002
180.0;6200.0
190.0;14630.000000000002
200.0;6389.0
210.0;14490.000000000002
220.0;6156.0
230.0;14190.000000000002
240.0;6244.0
250.0;14330.000000000002
260.0;6193.0
270.0;14280.000000000002
280.0;6412.0
290.0;14470.000000000002
300.0;14320.000000000002
310.0;14630.000000000002
320.0;6239.0
330.0;14400.000000000002
340.0;6290.0
350.0;17290.0
360.0;14600.000000000002
370.0;14370.000000000002
380.0;6524.0
390.0;14490.000000000002
400.0;6254.0
410.0;8944.0
420.0;14420.000000000002
430.0;14270.000000000002
440.0;6265.0
450.0;14460.000000000002
460.0;6236.0
470.0;14290.000000000002
480.0;6520.0
490.0;14600.000000000002
500.0;9031.0
510.0;14420.000000000002
520.0;14380.000000000002
530.0;14440.000000000002
540.0;14560.000000000002
550.0;14970.000000000002
560.0;6452.0
570.0;14580.000000000002
580.0;14470.000000000002
590.0;14350.000000000002
600.0;6205.0
610.0;14330.000000000002
620.0;14630.000000000002
630.0;15410.000000000002
640.0;6546.0
650.0;6934.0
660.0;14530.000000000002
670.0;6745.0
680.0;14620.000000000002
690.0;6232.0
700.0;10100.0
710.0;14320.000000000002
720.0;14420.000000000002
730.0;14580.000000000002
740.0;14620.000000000002
750.0;14640.000000000002
760.0;14760.000000000002
770.0;14560.000000000002
780.0;6418.0
790.0;9636.0
800.0;14280.000000000002
810.0;14640.000000000002
820.0;14430.000000000002
830.0;16310.000000000002
840.0;6848.0
850.0;14360.000000000002
860.0;14430.000000000002
870.0;14250.000000000002
880.0;14630.000000000002
890.0;15060.000000000002
900.0;14450.000000000002
910.0;14330.000000000002
920.0;14650.000000000002
930.0;14260.000000000002
940.0;6272.0
950.0;7067.0
960.0;14300.000000000002
970.0;7059.0
980.0;9336.0
990.0;8742.0
1000.0;9467.0
1010.0;9233.0
1020.0;11130.000000000002
1030.0;14350.000000000002
1040.0;15300.000000000002
1050.0;7230.0
1060.0;14930.000000000002
1070.0;15180.000000000002
1080.0;14780.000000000002
1090.0;15030.000000000002
1100.0;7493.0
1110.0;9687.0
1120.0;14920.000000000002
1130.0;14790.000000000002
1140.0;14900.000000000002
1150.0;6754.0
1160.0;7434.0
1170.0;14810.000000000002
1180.0;7474.0
1190.0;14930.000000000002
1200.0;6739.0
1210.0;14850.000000000002
1220.0;14760.000000000002
1230.0;14840.000000000002
1240.0;15170.000000000002
1250.0;6754.0
1260.0;7229.0
1270.0;15040.000000000002
1280.0;7242.0
1290.0;15230.000000000002
1300.0;6707.0
1310.0;7076.0
1320.0;15130.000000000002
1330.0;6809.0
1340.0;14780.000000000002
1350.0;6748.0
1360.0;14760.000000000002
1370.0;7072.0
1380.0;15210.000000000002
1390.0;7099.0
1400.0;15190.000000000002
1410.0;6871.0
1420.0;15030.000000000002
1430.0;6709.0
1440.0;14880.000000000002
1450.0;6806.0
1460.0;15160.000000000002
1470.0;7092.0
1480.0;14780.000000000002
1490.0;6810.0
1500.0;14840.000000000002
1510.0;6792.0
1520.0;14940.000000000002
1530.0;7518.0
1540.0;15220.000000000002
1550.0;7040.0
1560.0;15070.000000000002
1570.0;6796.0
1580.0;14900.000000000002
1590.0;7035.0
1600.0;15260.000000000002
1610.0;7103.0
1620.0;14880.000000000002
1630.0;7099.0
1640.0;15180.000000000002
1650.0;7059.0
1660.0;14940.000000000002
1670.0;7059.0
1680.0;15230.000000000002
1690.0;6965.0
1700.0;11930.000000000002
1710.0;6875.0
1720.0;14990.000000000002
1730.0;6974.0
1740.0;15230.000000000002
1750.0;7047.0
1760.0;15020.000000000002
1770.0;6783.0
1780.0;15120.000000000002
1790.0;6937.0
1800.0;15040.000000000002
1810.0;7141.0
1820.0;15250.000000000002
1830.0;7197.0
1840.0;14990.000000000002
1850.0;6941.0
1860.0;15130.000000000002
1870.0;7098.0
1880.0;15010.000000000002
1890.0;6713.0
1900.0;15150.000000000002
1910.0;6800.0
1920.0;14810.000000000002
1930.0;7099.0
1940.0;14890.000000000002
1950.0;7161.0
1960.0;14880.000000000002
1970.0;6769.0
1980.0;14740.000000000002
1990.0;7084.0
2000.0;15000.000000000002
2010.0;6753.0
2020.0;14990.000000000002
2030.0;6766.0
2040.0;15010.000000000002
2050.0;7056.0
2060.0;15170.000000000002
2070.0;6899.0
2080.0;14960.000000000002
2090.0;6708.0
2100.0;14780.000000000002
2110.0;6785.0
2120.0;14850.000000000002
2130.0;6766.0
2140.0;15010.000000000002
2150.0;7054.0
2160.0;15230.000000000002
2170.0;6729.0
2180.0;14860.000000000002
2190.0;6765.0
2200.0;15230.000000000002
2210.0;7090.0
2220.0;6775.0
2230.0;15230.000000000002
2240.0;15200.000000000002
2250.0;14960.000000000002
2260.0;14340.000000000002
2270.0;7639.0
2280.0;15160.000000000002
2290.0;14830.000000000002
2300.0;15130.000000000002
2310.0;14410.000000000002
2320.0;6151.0
2330.0;14380.000000000002
2340.0;16300.000000000002
2350.0;14390.000000000002
2360.0;14670.000000000002
2370.0;6233.0
2380.0;14230.000000000002
2390.0;14420.000000000002
2400.0;14470.000000000002
2410.0;14530.000000000002
2420.0;6265.0
2430.0;14340.000000000002
2440.0;9313.0
2450.0;14400.000000000002
2460.0;9266.0
2470.0;6516.0
2480.0;8110.0
2490.0;14250.000000000002
2500.0;6395.0
2510.0;14850.000000000002
2520.0;8704.0
2530.0;8959.0
2540.0;9158.0
2550.0;14420.000000000002
2560.0;14660.000000000002
2570.0;9123.0
2580.0;6665.0
2590.0;14570.000000000002
2600.0;14470.000000000002
2610.0;14420.000000000002
2620.0;14310.000000000002
2630.0;14320.000000000002
2640.0;14460.000000000002
2650.0;14640.000000000002
2660.0;14570.000000000002
2670.0;14290.000000000002
2680.0;11650.000000000002
2690.0;14410.000000000002
2700.0;14570.000000000002
2710.0;14610.000000000002
2720.0;14620.000000000002
2730.0;14240.000000000002
2740.0;14290.000000000002
2750.0;14330.000000000002
2760.0;14660.000000000002
2770.0;14570.000000000002
2780.0;14230.000000000002
2790.0;14410.000000000002
2800.0;14300.000000000002
2810.0;14350.000000000002
2820.0;14520.000000000002
2830.0;14630.000000000002
2840.0;14610.000000000002
2850.0;14230.000000000002
2860.0;14270.000000000002
2870.0;14620.000000000002
2880.0;14700.000000000002
2890.0;14590.000000000002
2900.0;14500.000000000002
2910.0;14270.000000000002
2920.0;14220.000000000002
2930.0;14310.000000000002
2940.0;14270.000000000002
2950.0;14560.000000000002
2960.0;14600.000000000002
2970.0;14660.000000000002
2980.0;14610.000000000002
2990.0;14630.000000000002
3000.0;14450.000000000002
3010.0;14290.000000000002
3020.0;12440.000000000002
3030.0;14410.000000000002
3040.0;14860.000000000002
3050.0;14530.000000000002
3060.0;14330.000000000002
3070.0;14220.000000000002
3080.0;14300.000000000002
3090.0;14290.000000000002
3100.0;14420.000000000002
3110.0;14700.000000000002
3120.0;14700.000000000002
3130.0;14380.000000000002
3140.0;14230.000000000002
3150.0;14240.000000000002
3160.0;14500.000000000002
3170.0;14670.000000000002
3180.0;14690.000000000002
3190.0;14650.000000000002
3200.0;14450.000000000002
3210.0;14220.000000000002
3220.0;14310.000000000002
3230.0;14440.000000000002
3240.0;14470.000000000002
3250.0;14260.000000000002
3260.0;14590.000000000002
3270.0;14630.000000000002
3280.0;14650.000000000002
3290.0;16940.0
3300.0;14390.000000000002
3310.0;14550.000000000002
3320.0;14500.000000000002
3330.0;14330.000000000002
3340.0;14530.000000000002
3350.0;14290.000000000002
3360.0;14720.000000000002
3370.0;14660.000000000002
3380.0;14630.000000000002
3390.0;14570.000000000002
3400.0;14630.000000000002
3410.0;14700.000000000002
3420.0;6532.0
3430.0;15540.000000000002
3440.0;14240.000000000002
3450.0;8889.0
3460.0;14280.000000000002
3470.0;14460.000000000002
3480.0;7029.0
3490.0;14560.000000000002
3500.0;14650.000000000002
3510.0;14580.000000000002
3520.0;14860.000000000002
3530.0;8873.0
3540.0;14890.000000000002
3550.0;6947.0
3560.0;15260.000000000002
3570.0;9952.0
3580.0;6770.0
3590.0;15070.000000000002
3600.0;14920.000000000002
3610.0;15190.000000000002
3620.0;14880.000000000002
3630.0;10260.0
3640.0;14780.000000000002
3650.0;15080.000000000002
3660.0;14900.000000000002
3670.0;15910.000000000002
3680.0;6715.0
3690.0;14970.000000000002
3700.0;14830.000000000002
3710.0;14860.000000000002
3720.0;15140.000000000002
3730.0;7043.0
3740.0;16210.000000000002
3750.0;14930.000000000002
3760.0;15170.000000000002
